variable_name,display_name,description,data_type,unit,allowed_values,example_value,required,primary_key,controlled_vocabulary,fair_mapping,ontology_id,ontology_label,ontology_source_url,missing_value_definition
KEGG_Pathway_ID,KEGG Pathway Identifier,Unique KEGG pathway identifier.,character,NA,Valid KEGG pathway identifiers,ko00260,Yes,Yes,KEGG Pathway Ontology,PathwayIdentifier,KEGG:PATHWAY,KEGG Pathway,https://www.kegg.jp/kegg/pathway.html,Not allowed
Description,KEGG Pathway Name,Human-readable name of the KEGG pathway.,character,NA,KEGG pathway names,"Glycine, serine and threonine metabolism",Yes,No,KEGG Pathway Ontology,PathwayLabel,SIO:000185,Label,http://semanticscience.org/resource/SIO_000185,Not allowed
setSize,Pathway Gene Count,Number of genes or KEGG orthologs assigned to the pathway included in enrichment analysis.,integer,count,Positive integers,44,Yes,No,KEGG Orthology,GeneSetCardinality,SIO:000794,Count,http://semanticscience.org/resource/SIO_000794,NA
enrichmentScore,Enrichment Score,Raw enrichment score (ES). Positive values indicate enrichment and negative values indicate depletion.,numeric,NA,Real numbers,0.52,Yes,No,GSEA Metric,GSEAEnrichmentScore,EDAM:data_2526,Statistical score,https://edamontology.org/data_2526,NA
NES,Normalized Enrichment Score,Enrichment score normalized for pathway size to enable comparisons across pathways.,numeric,NA,Real numbers,1.35,Yes,No,GSEA Metric,GSEANormalizedEnrichmentScore,EDAM:data_2526,Statistical score,https://edamontology.org/data_2526,NA
pvalue,Nominal P-Value,Nominal p-value associated with the enrichment score.,numeric,NA,0-1,0.023,Yes,No,GSEA Metric,NominalPValue,STATO:0000184,P-value,http://purl.obolibrary.org/obo/STATO_0000184,NA
p.adjust,Adjusted P-Value,Multiple-testing corrected p-value.,numeric,NA,0-1,0.042,Yes,No,GSEA Metric,MultipleTestingAdjustedPValue,STATO:0000411,Adjusted p-value,http://purl.obolibrary.org/obo/STATO_0000411,NA
qvalue,False Discovery Rate,Estimated false discovery rate associated with pathway enrichment.,numeric,NA,0-1,0.061,Yes,No,GSEA Metric,FalseDiscoveryRate,STATO:0000304,False discovery rate,http://purl.obolibrary.org/obo/STATO_0000304,NA
rank,Peak Enrichment Rank,Position within the ranked feature list at which the enrichment score reaches maximum deviation from zero.,integer,rank,Positive integers,324,Yes,No,GSEA Metric,RankPosition,STATO:0000293,Rank,http://purl.obolibrary.org/obo/STATO_0000293,NA
leading_edge,Leading Edge Summary,Summary statistics describing the subset of genes contributing most strongly to pathway enrichment.,character,NA,GSEA formatted text,"tags=35%, list=20%, signal=28%",Yes,No,GSEA Metric,LeadingEdgeSummary,MARBLES:GSEA_LEADING_EDGE,Leading Edge Summary,https://doi.org/10.25820/data.007461,NA
core_enrichment,Core Enrichment Orthologs,KEGG ortholog identifiers comprising the leading-edge subset responsible for enrichment.,character,NA,KEGG Orthology identifiers,K00844/K01810,Yes,No,KEGG Orthology,LeadingEdgeGeneSet,MARBLES:CORE_ENRICHMENT_SET,Core Enrichment Ortholog Set,https://doi.org/10.25820/data.007461,NA
