Subject Class,Chemical Group,ISRP Name,Newly Added,ISRP CompoundID,EPA Congener Number,Molecular Formula,MeO Pattern,Chlorine Pattern,Hydroxyl Pattern,Sulfate Pattern,MolFilePath,SDFilePath,CAS Registry Number SubjectScheme,CAS Registry Number SubjectSchemeURI,CAS Registry Number,CAS Registry Number TermURI,DSSTox Substance ID SubjectScheme,DSSTox Substance ID,DSSTox SubstanceID TermURI,InChIKey SubjectScheme,InChIKey SchemeURI,InChI Key,InChIKey TermURI,IUPAC SubjectScheme,IUPAC Name SchemeURI,IUPAC Name,PubChem CID SubjectScheme,PubChem CID SubjectSchemeURI,PubChem CID,PubChem CID TermURI,Canonical SMILES SubjectScheme,Canonical SMILES SchemeURI,Canonical SMILES
ChemicalSubstances,Polychlorinated biphenyls,PCB 1,No,,1,C12H9Cl,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2051-60-7,https://commonchemistry.cas.org/detail?cas_rn=2051-60-7,DSSTox Substance ID,DTXSID6040298,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID6040298,InChIKey,https://registry.identifiers.org/registry/inchikey,LAXBNTIAOJWAOP-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/LAXBNTIAOJWAOP-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2-Chloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,249266.0,https://pubchem.ncbi.nlm.nih.gov/compound/249266,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=CC=CC=C2Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 2,No,,2,C12H9Cl,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2051-61-8,https://commonchemistry.cas.org/detail?cas_rn=2051-61-8,DSSTox Substance ID,DTXSID1040299,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID1040299,InChIKey,https://registry.identifiers.org/registry/inchikey,NMWSKOLWZZWHPL-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/NMWSKOLWZZWHPL-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"3-Chloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,16322.0,https://pubchem.ncbi.nlm.nih.gov/compound/16322,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=CC(=CC=C2)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 3,No,,3,C12H9Cl,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2051-62-9,https://commonchemistry.cas.org/detail?cas_rn=2051-62-9,DSSTox Substance ID,DTXSID3040300,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID3040300,InChIKey,https://registry.identifiers.org/registry/inchikey,FPWNLURCHDRMHC-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/FPWNLURCHDRMHC-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"4-Chloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,16323.0,https://pubchem.ncbi.nlm.nih.gov/compound/16323,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 4,No,,4,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,13029-08-8,https://commonchemistry.cas.org/detail?cas_rn=13029-08-8,DSSTox Substance ID,DTXSID4044533,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID4044533,InChIKey,https://registry.identifiers.org/registry/inchikey,JAYCNKDKIKZTAF-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/JAYCNKDKIKZTAF-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,2'-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,25622.0,https://pubchem.ncbi.nlm.nih.gov/compound/25622,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 5,No,,5,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,16605-91-7,https://commonchemistry.cas.org/detail?cas_rn=16605-91-7,DSSTox Substance ID,DTXSID0073409,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID0073409,InChIKey,https://registry.identifiers.org/registry/inchikey,XOMKZKJEJBZBJJ-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/XOMKZKJEJBZBJJ-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,3-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,27959.0,https://pubchem.ncbi.nlm.nih.gov/compound/27959,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=C(C(=CC=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 6,No,,6,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,25569-80-6,https://commonchemistry.cas.org/detail?cas_rn=25569-80-6,DSSTox Substance ID,DTXSID3074024,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID3074024,InChIKey,https://registry.identifiers.org/registry/inchikey,ZHBBDTRJIVXKEX-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/ZHBBDTRJIVXKEX-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,3'-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,33100.0,https://pubchem.ncbi.nlm.nih.gov/compound/33100,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C(=C1)C2=CC(=CC=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 7,No,,7,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,33284-50-3,https://commonchemistry.cas.org/detail?cas_rn=33284-50-3,DSSTox Substance ID,DTXSID8040301,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID8040301,InChIKey,https://registry.identifiers.org/registry/inchikey,WEJZHZJJXPXXMU-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/WEJZHZJJXPXXMU-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,4-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,36399.0,https://pubchem.ncbi.nlm.nih.gov/compound/36399,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=C(C=C(C=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 8,No,,8,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,34883-43-7,https://commonchemistry.cas.org/detail?cas_rn=34883-43-7,DSSTox Substance ID,DTXSID0022511,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID0022511,InChIKey,https://registry.identifiers.org/registry/inchikey,UFNIBRDIUNVOMX-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/UFNIBRDIUNVOMX-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,4'-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,36982.0,https://pubchem.ncbi.nlm.nih.gov/compound/36982,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 9,No,,9,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,34883-39-1,https://commonchemistry.cas.org/detail?cas_rn=34883-39-1,DSSTox Substance ID,DTXSID7073480,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID7073480,InChIKey,https://registry.identifiers.org/registry/inchikey,KKQWHYGECTYFIA-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/KKQWHYGECTYFIA-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,5-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,36980.0,https://pubchem.ncbi.nlm.nih.gov/compound/36980,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=C(C=CC(=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 10,No,,10,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,33146-45-1,https://commonchemistry.cas.org/detail?cas_rn=33146-45-1,DSSTox Substance ID,DTXSID7038313,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID7038313,InChIKey,https://registry.identifiers.org/registry/inchikey,IYZWUWBAFUBNCH-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/IYZWUWBAFUBNCH-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,6-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,36342.0,https://pubchem.ncbi.nlm.nih.gov/compound/36342,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=C(C=CC=C2Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 11,No,,11,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2050-67-1,https://commonchemistry.cas.org/detail?cas_rn=2050-67-1,DSSTox Substance ID,DTXSID70872817,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID70872817,InChIKey,https://registry.identifiers.org/registry/inchikey,KTXUOWUHFLBZPW-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/KTXUOWUHFLBZPW-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"3,3'-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,16307.0,https://pubchem.ncbi.nlm.nih.gov/compound/16307,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC(=CC(=C1)Cl)C2=CC(=CC=C2)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 12,No,,12,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2974-92-7,https://commonchemistry.cas.org/detail?cas_rn=2974-92-7,DSSTox Substance ID,DTXSID6073310,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID6073310,InChIKey,https://registry.identifiers.org/registry/inchikey,ZGHQUYZPMWMLBM-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/ZGHQUYZPMWMLBM-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"3,4-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,18102.0,https://pubchem.ncbi.nlm.nih.gov/compound/18102,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=CC(=C(C=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 13,No,,13,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2974-90-5,https://commonchemistry.cas.org/detail?cas_rn=2974-90-5,DSSTox Substance ID,DTXSID10863067,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID10863067,InChIKey,https://registry.identifiers.org/registry/inchikey,CJDNEKOMKXLSBN-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/CJDNEKOMKXLSBN-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"3,4'-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,18101.0,https://pubchem.ncbi.nlm.nih.gov/compound/18101,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC(=CC(=C1)Cl)C2=CC=C(C=C2)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 14,No,,14,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,34883-41-5,https://commonchemistry.cas.org/detail?cas_rn=34883-41-5,DSSTox Substance ID,DTXSID5074137,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID5074137,InChIKey,https://registry.identifiers.org/registry/inchikey,QHZSDTDMQZPUKC-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/QHZSDTDMQZPUKC-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"3,5-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,36981.0,https://pubchem.ncbi.nlm.nih.gov/compound/36981,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C=C1)C2=CC(=CC(=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 15,No,,15,C12H8Cl2,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,2050-68-2,https://commonchemistry.cas.org/detail?cas_rn=2050-68-2,DSSTox Substance ID,DTXSID0022515,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID0022515,InChIKey,https://registry.identifiers.org/registry/inchikey,YTBRNEUEFCNVHC-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/YTBRNEUEFCNVHC-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"4,4'-Dichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,16308.0,https://pubchem.ncbi.nlm.nih.gov/compound/16308,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 16,No,,16,C12H7Cl3,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,38444-78-9,https://commonchemistry.cas.org/detail?cas_rn=38444-78-9,DSSTox Substance ID,DTXSID3073501,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID3073501,InChIKey,https://registry.identifiers.org/registry/inchikey,XVIZMMSINIOIQP-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/XVIZMMSINIOIQP-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,2',3-Trichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,38032.0,https://pubchem.ncbi.nlm.nih.gov/compound/38032,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C(=C1)C2=C(C(=CC=C2)Cl)Cl)Cl
ChemicalSubstances,Polychlorinated biphenyls,PCB 17,No,,17,C12H7Cl3,,,,,,,CAS Registry Number,https://www.cas.org/cas-data/cas-registry,37680-66-3,https://commonchemistry.cas.org/detail?cas_rn=37680-66-3,DSSTox Substance ID,DTXSID1073492,https://comptox.epa.gov/dashboard/chemical/detailsDTXSID1073492,InChIKey,https://registry.identifiers.org/registry/inchikey,YKKYCYQDUUXNLN-UHFFFAOYSA-N,http://rdf.ncbi.nlm.nih.gov/pubchem/inchikey/YKKYCYQDUUXNLN-UHFFFAOYSA-N,IUPAC Name,https://iupac.org/what-we-do/nomenclature/,"2,2',4-Trichloro-1,1'-biphenyl",PubChem CID,https://pubchem.ncbi.nlm.nih.gov/,37804.0,https://pubchem.ncbi.nlm.nih.gov/compound/37804,Canonical SMILES,https://www.daylight.com/dayhtml/doc/theory/theory.smiles.html,C1=CC=C(C(=C1)C2=C(C=C(C=C2)Cl)Cl)Cl
